sampleID,groupID
Serum_A/WELLINGTON/25/93_TableS1,TableS1
Serum_A/WELLINGTON/96/93_TableS1,TableS1
Serum_A/VICTORIA/9/94_TableS1,TableS1
Serum_A/JOHANNESBURG/33/94_TableS1,TableS1
Serum_A/SHANDONG/9/93_TableS1,TableS1
Serum_A/WELLINGTON/1/94_repeat_TableS1,TableS1
Serum_A/WELLINGTON/1/94_TableS1,TableS1
Serum_A/NANCHANG/933/95_TableS1,TableS1
Serum_A/TASMANIA/1/97_TableS1,TableS1
Serum_A/CANBERRA/1/96_TableS1,TableS1
Serum_A/WUHAN/359/95_TableS1,TableS1
Serum_A/BANGKOK/1/97_TableS1,TableS1
Serum_A/SYDNEY/5/97_TableS1,TableS1
Serum_A/PANAMA/2007/99_TableS1,TableS1
Serum_A/VICTORIA/507/98_TableS1,TableS1
Serum_A/VICTORIA/577/99_TableS1,TableS1
Serum_A/WYOMING/3/2003_TableS1,TableS1
Serum_A/WELLINGTON/1/2004_TableS1,TableS1
Serum_A/FUKUOKA/55/2002_TableS1,TableS1
Serum_A/VICTORIA/110/2004_TableS1,TableS1
Serum_A/NEW_YORK/55/2004_TableS1,TableS1
Serum_A/SINGAPORE/37/2004_TableS1,TableS1
Serum_A/VICTORIA/523/2004_TableS1,TableS1
Serum_A/BRISBANE/3/2005_TableS1,TableS1
Serum_A/BRISBANE/10/2007_TableS1,TableS1
Serum_A/VICTORIA/500/2009_TableS1,TableS1
Serum_A/URUGUAY/716/2007_TableS1,TableS1
Serum_A/PERTH/27/2007_TableS1,TableS1
Serum_A/VICTORIA/208/2009_TableS1,TableS1
Serum_A/VICTORIA/8/2010_TableS1,TableS1
Serum_A/PERTH/16/2009_TableS1,TableS1
Serum_A/TOWNSVILLE/87/2010_TableS1,TableS1
Serum_A/BEIJING/337/89_TableS1,TableS1
Serum_A/BEIJING/353/89_TableS1,TableS1
Serum_A/HONGKONG/34/90_TableS1,TableS1
