sampleID,groupID
Subject71Age18_Pre_TableS6,TableS6
Subject77Age19_Pre_TableS6,TableS6
Subject88Age19_Pre_TableS6,TableS6
Subject90Age19_Pre_TableS6,TableS6
Subject99Age27_Pre_TableS6,TableS6
Subject117Age19_Pre_TableS6,TableS6
Subject147Age19_Pre_TableS6,TableS6
Subject178Age22_Pre_TableS6,TableS6
Subject181Age18_Pre_TableS6,TableS6
Subject8Age27_Pre_TableS6,TableS6
Subject24Age22_Pre_TableS6,TableS6
Subject25Age19_Pre_TableS6,TableS6
Subject29Age24_Pre_TableS6,TableS6
Subject30Age21_Pre_TableS6,TableS6
Subject40Age21_Pre_TableS6,TableS6
Subject50Age49_Pre_TableS6,TableS6
Subject53Age22_Pre_TableS6,TableS6
Subject60Age26_Pre_TableS6,TableS6
Subject64Age21_Pre_TableS6,TableS6
Subject67Age26_Pre_TableS6,TableS6
Subject69Age20_Pre_TableS6,TableS6
Subject76Age18_Pre_TableS6,TableS6
Subject81Age24_Pre_TableS6,TableS6
Subject83Age45_Pre_TableS6,TableS6
Subject86Age18_Pre_TableS6,TableS6
Subject93Age19_Pre_TableS6,TableS6
Subject116Age32_Pre_TableS6,TableS6
Subject128Age28_Pre_TableS6,TableS6
Subject135Age21_Pre_TableS6,TableS6
Subject137Age21_Pre_TableS6,TableS6
Subject138Age19_Pre_TableS6,TableS6
Subject145Age20_Pre_TableS6,TableS6
Subject157Age19_Pre_TableS6,TableS6
Subject161Age31_Pre_TableS6,TableS6
Subject163Age33_Pre_TableS6,TableS6
Subject166Age46_Pre_TableS6,TableS6
Subject180Age20_Pre_TableS6,TableS6
Subject186Age28_Pre_TableS6,TableS6
Subject189Age47_Pre_TableS6,TableS6
Subject195Age20_Pre_TableS6,TableS6
Subject199Age26_Pre_TableS6,TableS6
Subject106Age27_Pre_TableS6,TableS6
Subject123Age18_Pre_TableS6,TableS6
Subject642Age64_Pre_TableS6,TableS6
Subject646Age73_Pre_TableS6,TableS6
Subject652Age75_Pre_TableS6,TableS6
Subject612Age67_Pre_TableS6,TableS6
Subject615Age72_Pre_TableS6,TableS6
Subject616Age73_Pre_TableS6,TableS6
Subject618Age70_Pre_TableS6,TableS6
Subject619Age75_Pre_TableS6,TableS6
Subject620Age74_Pre_TableS6,TableS6
Subject624Age63_Pre_TableS6,TableS6
Subject626Age75_Pre_TableS6,TableS6
Subject628Age72_Pre_TableS6,TableS6
Subject629Age73_Pre_TableS6,TableS6
Subject630Age74_Pre_TableS6,TableS6
Subject632Age62_Pre_TableS6,TableS6
Subject634Age69_Pre_TableS6,TableS6
Subject635Age68_Pre_TableS6,TableS6
Subject636Age69_Pre_TableS6,TableS6
Subject640Age66_Pre_TableS6,TableS6
Subject644Age70_Pre_TableS6,TableS6
Subject648Age75_Pre_TableS6,TableS6
Subject649Age71_Pre_TableS6,TableS6
Subject650Age70_Pre_TableS6,TableS6
