,n_features_info
0,"sourceID: TableS3.2, groupID: TableS13, number of intersecting viruses: 7"
1,"sourceID: TableS3.2, groupID: TableS14, number of intersecting viruses: 7"
2,"sourceID: TableS3.2, groupID: fon_children, number of intersecting viruses: 9"
3,"sourceID: TableS3.2, groupID: fon_ferrets, number of intersecting viruses: 9"
4,"sourceID: TableS3.2, groupID: hin_vu14vi15, number of intersecting viruses: 7"
5,"sourceID: TableS3.2, groupID: hin_vu15vi16, number of intersecting viruses: 7"
6,"sourceID: TableS3.2, groupID: hin_u15u16, number of intersecting viruses: 7"
7,"sourceID: TableS3.1, groupID: TableS13, number of intersecting viruses: 13"
8,"sourceID: TableS3.1, groupID: TableS14, number of intersecting viruses: 13"
9,"sourceID: TableS3.1, groupID: fon_children, number of intersecting viruses: 8"
10,"sourceID: TableS3.1, groupID: fon_ferrets, number of intersecting viruses: 8"
11,"sourceID: TableS3.1, groupID: hin_vu14vi15, number of intersecting viruses: 7"
12,"sourceID: TableS3.1, groupID: hin_vu15vi16, number of intersecting viruses: 7"
13,"sourceID: TableS3.1, groupID: hin_u15u16, number of intersecting viruses: 7"
